Product_Key	metier	Prix Unitaire Facture	Date	QTY_STOCK	Qte Commandee Unite
63509	VIEN	12.121268	24/03/2016 00:00	72000	4000
63503	VIEN	18.48	20/01/2016 00:00	27972	3996
63503	VIEN	15.4	02/03/2016 00:00	27972	3996
63503	VIEN	18.48	09/03/2016 00:00	27972	3996
63503	VIEN	15.4	16/03/2016 00:00	27972	3996
48692	BOUL	7.796399999999999	13/01/2016 00:00	19560	3960
48690	BOUL	10.0026	04/02/2016 00:00	19800	3960
48677	BOUL	14.1008	10/02/2016 00:00	16320	3960
48677	BOUL	13.3144	09/03/2016 00:00	16320	3960
48692	BOUL	10.6088	16/03/2016 00:00	19560	3960
50311	NEGOCE	4.220000000000001	05/02/2016 00:00		3955
48714	BOUL	8.96	03/02/2016 00:00	6550	3950
48714	BOUL	8.96	10/02/2016 00:00	6550	3950
63570	VIEN	6.050000000000001	13/01/2016 00:00	53100	3900
63570	VIEN	8.040000000000001	09/03/2016 00:00	53100	3900
63441	VIEN	13.679999999999998	30/03/2016 00:00	2200	3900
63570	VIEN	9.129999999999999	30/03/2016 00:00	53100	3900
63503	VIEN	18.48	13/02/2016 00:00	27972	3888
63503	VIEN	18.48	20/02/2016 00:00	27972	3888
48690	BOUL	10.72	01/01/2016 00:00	19800	3840
48689	BOUL	15.932399999999996	06/01/2016 00:00	18240	3840
48692	BOUL	6.6541999999999994	07/01/2016 00:00	19560	3840
63588	VIEN	3.360168	07/01/2016 00:00	67200	3840
48677	BOUL	15.009599999999999	08/01/2016 00:00	16320	3840
48690	BOUL	14.5762	12/01/2016 00:00	19800	3840
48692	BOUL	8.864227999999999	14/01/2016 00:00	19560	3840
63509	VIEN	13.548068	27/01/2016 00:00	72000	3840
48690	BOUL	11.672778000000001	11/02/2016 00:00	19800	3840
63559	VIEN	11.311916	13/02/2016 00:00	74080	3840
63576	VIEN	9.329925	13/02/2016 00:00	66240	3840
63576	VIEN	11.850224999999998	18/02/2016 00:00	66240	3840
48690	BOUL	11.808100000000001	23/02/2016 00:00	19800	3840
48690	BOUL	10.9911	24/02/2016 00:00	19800	3840
63576	VIEN	13.975124999999998	24/02/2016 00:00	66240	3840
63509	VIEN	10.561388	25/02/2016 00:00	72000	3840
